BEGIN DEBUGGING
Radar NIS: 73.2904
Lidar NIS: 0.182508
Radar NIS: 1.80944
Lidar NIS: 0.196205
Radar NIS: 4.11243
Lidar NIS: 0.163495
Radar NIS: 6.31679
Lidar NIS: 0.0108599
Radar NIS: 0.254918
Lidar NIS: 0.996299
Radar NIS: 1.67821
Lidar NIS: 2.44077
Radar NIS: 3.94958
Lidar NIS: 0.305676
Radar NIS: 1.57244
Lidar NIS: 11.2822
Radar NIS: 0.966886
Lidar NIS: 3.17801
Radar NIS: 1.92688
Lidar NIS: 1.89408
Radar NIS: 3.27095
Lidar NIS: 3.76148
Radar NIS: 0.307286
Lidar NIS: 0.143506
Radar NIS: 1.73769
Lidar NIS: 2.60577
Radar NIS: 5.34542
Lidar NIS: 0.421885
Radar NIS: 2.20169
Lidar NIS: 0.255728
Radar NIS: 6.72614
Lidar NIS: 0.800041
Radar NIS: 6.79891
Lidar NIS: 0.656693
Radar NIS: 4.46229
Lidar NIS: 3.44427
Radar NIS: 4.98645
Lidar NIS: 1.35739
Radar NIS: 2.81189
Lidar NIS: 0.844168
Radar NIS: 2.41735
Lidar NIS: 2.01987
Radar NIS: 0.573058
Lidar NIS: 0.265525
Radar NIS: 1.58399
Lidar NIS: 0.452517
Radar NIS: 0.556847
Lidar NIS: 3.55527
Radar NIS: 2.62259
Lidar NIS: 2.94897
Radar NIS: 11.4416
Lidar NIS: 1.00853
Radar NIS: 0.164452
Lidar NIS: 1.00857
Radar NIS: 1.16436
Lidar NIS: 2.08969
Radar NIS: 3.53905
Lidar NIS: 1.39309
Radar NIS: 2.90647
Lidar NIS: 0.826788
Radar NIS: 0.926605
Lidar NIS: 0.135751
Radar NIS: 1.41811
Lidar NIS: 0.624614
Radar NIS: 0.659703
Lidar NIS: 0.544637
Radar NIS: 3.12637
Lidar NIS: 1.24351
Radar NIS: 1.30221
Lidar NIS: 0.200942
Radar NIS: 2.53378
Lidar NIS: 0.979157
Radar NIS: 0.526792
Lidar NIS: 1.092
Radar NIS: 0.992345
Lidar NIS: 1.21574
Radar NIS: 0.313715
Lidar NIS: 1.11399
Radar NIS: 0.774528
Lidar NIS: 3.59005
Radar NIS: 3.44841
Lidar NIS: 2.00087
Radar NIS: 0.265302
Lidar NIS: 1.32722
Radar NIS: 2.1094
Lidar NIS: 3.02743
Radar NIS: 0.407066
Lidar NIS: 4.05409
Radar NIS: 0.82253
Lidar NIS: 3.46928
Radar NIS: 2.07222
Lidar NIS: 1.25373
Radar NIS: 7.51379
Lidar NIS: 1.289
Radar NIS: 2.97439
Lidar NIS: 2.34111
Radar NIS: 4.9523
Lidar NIS: 0.00290784
Radar NIS: 10.7209
Lidar NIS: 4.59162
Radar NIS: 3.65934
Lidar NIS: 1.25117
Radar NIS: 3.49412
Lidar NIS: 1.69024
Radar NIS: 1.98658
Lidar NIS: 0.886299
Radar NIS: 1.31754
Lidar NIS: 1.46505
Radar NIS: 0.85398
Lidar NIS: 0.542073
Radar NIS: 1.40981
Lidar NIS: 1.41844
Radar NIS: 3.27176
Lidar NIS: 2.00653
Radar NIS: 8.00866
Lidar NIS: 2.68869
Radar NIS: 1.13927
Lidar NIS: 0.287396
Radar NIS: 1.73258
Lidar NIS: 0.372099
Radar NIS: 0.204004
Lidar NIS: 0.516799
Radar NIS: 7.01855
Lidar NIS: 2.21213
Radar NIS: 5.64876
Lidar NIS: 3.69213
Radar NIS: 2.39182
Lidar NIS: 1.04843
Radar NIS: 1.99047
Lidar NIS: 1.10692
Radar NIS: 6.66813
Lidar NIS: 0.589123
Radar NIS: 1.69931
Lidar NIS: 0.230274
Radar NIS: 3.15916
